0.9,0.83333,0.88889,0.77778,0.9375,0.72222,0.77778,0.72222,0,0,0,0,0,0,0,0
1,0.75,0.88889,0.85,0.72222,0.5,0.83333,0.75,0,0,0,0,0,0,0,0
1,0.65,0.88235,0.875,0.89474,0.4375,0.89474,0.7,0,0,0,0,0,0,0,0
1,0.6875,0.94444,0.83333,0.76471,0.6,0.94444,0.77778,0,0,0,0,0,0,0,0
0.94118,0.77778,0.94444,0.72222,0.84211,0.5,0.83333,0.77778,0,0,0,0,0,0,0,0
1,0.66667,0.9,0.66667,0.83333,0.55556,1,0.66667,0,0,0,0,0,0,0,0
0.89474,0.61111,0.95238,0.88889,0.82353,0.5,0.8,0.88889,0,0,0,0,0,0,0,0
1,0.70588,0.8,0.7,0.77778,0.57895,0.9375,0.9375,0,0,0,0,0,0.058824,0,0
0.89474,0.58824,0.94737,0.76471,0.88235,0.63158,0.82353,0.78947,0,0.052632,0,0,0,0.058824,0,0
0.88889,0.78947,0.9375,0.76471,0.88889,0.41176,0.75,0.73684,0,0,0,0,0,0.26316,0,0
0.95238,0.61111,0.94737,0.83333,0.86667,0.55556,0.76471,0.72222,0,0,0,0,0,0.055556,0,0.055556
0.94444,0.70588,1,0.73684,0.94444,0.47368,0.88889,0.64706,0,0,0,0,0,0.058824,0,0
