rat,half,dPrime,controlLesion,ambiguity
27,1,3.62095890673959,1,2
28,1,3.21077058038968,1,2
29,1,3.44301214212526,1,2
30,1,3.46952695474043,1,2
31,1,3.45924008745318,1,2
32,1,2.09001592076772,1,2
33,1,3.21077058038968,1,2
34,1,3.07032471225721,1,2
35,1,3.77799463834873,1,2
36,1,3.17856005399617,1,2
37,1,3.21077058038968,1,2
38,1,3.78529133575194,1,2
39,1,3.78529133575194,1,2
40,1,3.77799463834873,1,2
41,1,3.45924008745318,1,2
42,1,3.77799463834873,1,2
43,1,3.60212229212185,1,2
44,1,3.61374500138063,1,2
45,1,3.98343163364375,1,2
46,1,3.77799463834873,1,2
47,1,3.58481218851584,1,2
48,1,3.47310559604219,1,2
1,1,2.87775142923891,2,1
2,1,4.59908592965812,2,1
3,1,2.88205350250209,2,1
4,1,4.58517948896251,2,1
5,1,3.23656004098301,2,1
6,1,4.23710016122865,2,1
7,1,4.61575021965359,2,1
8,1,2.05380598737254,2,1
9,1,4.60923677761831,2,1
10,1,2.88205350250209,2,1
11,1,2.88205350250209,2,1
12,1,1.90480434648997,2,1
13,1,2.63877014308263,2,1
14,1,4.58517948896251,2,1
15,1,2.88276867822438,2,1
16,1,4.60923677761831,2,1
17,1,2.0317921937088,2,1
18,1,4.23710016122865,2,1
19,1,2.63877014308263,2,1
20,1,4.56731774460614,2,1
21,1,2.06797321191518,2,1
22,1,2.50431969715048,2,1
23,1,4.59908592965812,2,1
24,1,4.58517948896251,2,1
25,1,4.59908592965812,2,1
26,1,3.98343163364375,2,1
27,1,2.44489426309301,2,1
28,1,2.86154106049063,2,1
29,1,4.61575021965359,2,1
30,1,4.23042366169481,2,1
31,1,3.23656004098301,2,1
32,1,4.58517948896251,2,1
33,1,2.43315884723022,2,1
34,1,4.58517948896251,2,1
35,1,4.59908592965812,2,1
36,1,1.66274045036101,2,1
37,1,2.41698189180993,2,1
38,1,4.58517948896251,2,1
39,1,2.86980556025157,2,1
40,1,3.23656004098301,2,1
41,1,3.23656004098301,2,1
42,1,4.59908592965812,2,1
43,1,1.88935275982455,2,1
44,1,3.24001261093285,2,1
45,1,2.12858357004989,2,1
46,1,4.58517948896251,2,1
47,1,4.20708235415703,2,1
48,1,4.60923677761831,2,1
1,1,2.50340344407715,2,2
2,1,4.61575021965359,2,2
3,1,4.61866966142444,2,2
4,1,4.58517948896251,2,2
5,1,4.23710016122865,2,2
6,1,3.24001261093285,2,2
7,1,4.60923677761831,2,2
8,1,2.85921837946567,2,2
9,1,4.23042366169481,2,2
10,1,4.60923677761831,2,2
11,1,3.98343163364375,2,2
12,1,4.61866966142444,2,2
13,1,3.24001261093285,2,2
14,1,4.60923677761831,2,2
15,1,2.48912117843468,2,2
16,1,1.70931542497376,2,2
17,1,4.23710016122865,2,2
18,1,4.61575021965359,2,2
19,1,2.2381897955595,2,2
20,1,4.23580504552988,2,2
21,1,4.59908592965812,2,2
22,1,3.98343163364375,2,2
23,1,4.22089923539762,2,2
24,1,3.24001261093285,2,2
25,1,4.23042366169481,2,2
26,1,2.59252417088875,2,2
27,1,4.60923677761831,2,2
28,1,4.23710016122865,2,2
29,1,3.98484682305701,2,2
30,1,2.4556522113051,2,2
31,1,4.59908592965812,2,2
32,1,4.61575021965359,2,2
33,1,4.61575021965359,2,2
34,1,4.61866966142444,2,2
35,1,2.64290477928021,2,2
36,1,2.86658087884442,2,2
37,1,4.22089923539762,2,2
38,1,3.98343163364375,2,2
39,1,4.60923677761831,2,2
40,1,4.22089923539762,2,2
41,1,4.61575021965359,2,2
42,1,3.98484682305701,2,2
43,1,4.59908592965812,2,2
44,1,4.59908592965812,2,2
45,1,3.98484682305701,2,2
46,1,3.24001261093285,2,2
47,1,4.60923677761831,2,2
48,1,3.98343163364375,2,2
1,2,4.20221617602431,1,1
2,2,3.78529133575194,1,1
3,2,4.04800864740507,1,1
4,2,3.98484682305701,1,1
5,2,4.16450613848838,1,1
6,2,3.65474397878699,1,1
7,2,3.78529133575194,1,1
8,2,3.3155374338517,1,1
9,2,4.20221617602431,1,1
10,2,4.60923677761831,1,1
11,2,4.20221617602431,1,1
12,2,3.78529133575194,1,1
13,2,4.16450613848838,1,1
14,2,3.82250495021713,1,1
15,2,3.40857156969716,1,1
16,2,4.26559571443272,1,1
17,2,3.5441521370273,1,1
18,2,3.94710956783696,1,1
19,2,3.78529133575194,1,1
20,2,4.23580504552988,1,1
21,2,3.61374500138063,1,1
22,2,3.40864349726609,1,1
23,2,3.56764129421383,1,1
24,2,4.26559571443272,1,1
25,2,4.20221617602431,1,1
26,2,3.78529133575194,1,1
27,2,3.23277461688477,1,1
28,2,3.50425401879111,1,1
29,2,3.74344810842786,1,1
30,2,3.15762460405805,1,1
31,2,4.20221617602431,1,1
32,2,3.69107892509719,1,1
33,2,4.23580504552988,1,1
34,2,4.23580504552988,1,1
35,2,4.26559571443272,1,1
36,2,3.94710956783696,1,1
37,2,3.82250495021713,1,1
38,2,3.56764129421383,1,1
39,2,4.29183079852385,1,1
40,2,3.45763124373691,1,1
41,2,4.60923677761831,1,1
42,2,3.94710956783696,1,1
43,2,3.85545126163438,1,1
44,2,3.82250495021713,1,1
45,2,3.56764129421383,1,1
46,2,3.7230778972707,1,1
47,2,3.65474397878699,1,1
48,2,3.94710956783696,1,1
1,2,1.09096425107937,1,2
2,2,1.13848678885023,1,2
3,2,2.22458041819993,1,2
4,2,3.45924008745318,1,2
5,2,3.23277461688477,1,2
6,2,2.25943825592186,1,2
7,2,3.03727418524284,1,2
8,2,3.45763124373691,1,2
9,2,3.57933762667263,1,2
10,2,3.78529133575194,1,2
11,2,1.1394595034636,1,2
12,2,2.10894829592597,1,2
13,2,3.24461375771942,1,2
14,2,1.96960730703129,1,2
15,2,2.06551069368326,1,2
16,2,2.62307488574054,1,2
